algorithm,cores,iterations,size,latency,min,max
0,162,1000,512.0,15.73,1.21,25.08
0,162,1000,1024.0,16.92,1.48,27.11
0,162,1000,2048.0,18.99,0.89,29.78
0,162,1000,4096.0,22.43,1.27,33.34
0,162,1000,8192.0,29.47,2.03,41.32
0,162,1000,16384.0,102.67,4.5,190.46
0,162,1000,32768.0,87.62,12.35,107.24
0,162,1000,65536.0,311.51,20.04,532.48
0,162,1000,131072.0,721.76,29.64,1117.38
0,162,1000,262144.0,1542.07,53.98,2275.5
0,162,1000,524288.0,3161.56,94.43,4541.4
0,162,1000,1048576.0,6461.44,190.76,9110.1
2,42,1000,1.0,13.28,0.81,29.13
2,42,1000,2.0,10.88,0.82,22.97
2,42,1000,4.0,10.01,0.83,21.87
2,42,1000,8.0,10.4,0.81,22.33
2,42,1000,16.0,11.33,0.76,23.59
2,42,1000,32.0,10.89,0.81,23.21
2,42,1000,64.0,13.35,0.83,29.74
2,42,1000,128.0,14.2,1.74,29.52
2,42,1000,256.0,16.65,2.22,35.58
2,42,1000,512.0,19.41,2.41,39.19
2,42,1000,1024.0,22.45,2.78,45.82
2,42,1000,2048.0,20.5,3.05,42.31
2,42,1000,4096.0,24.3,4.19,47.88
2,42,1000,8192.0,29.67,6.26,57.2
2,42,1000,16384.0,38.06,7.81,70.49
2,42,1000,32768.0,57.14,10.82,99.62
2,42,1000,65536.0,92.56,14.88,155.36
2,42,1000,131072.0,173.54,23.88,291.78
2,42,1000,262144.0,440.67,59.12,707.2
2,42,1000,524288.0,791.94,102.13,1265.88
2,42,1000,1048576.0,1553.52,192.49,2527.07
2,150,1000,1.0,48.67,0.92,98.86
2,150,1000,2.0,47.06,0.92,95.57
2,150,1000,4.0,46.3,0.87,94.22
2,150,1000,8.0,47.12,0.8,95.04
2,150,1000,16.0,48.33,0.73,98.89
2,150,1000,32.0,48.29,0.9,101.63
2,150,1000,64.0,49.14,0.84,99.74
2,150,1000,128.0,50.2,1.09,101.98
2,150,1000,256.0,62.09,1.84,121.91
2,150,1000,512.0,66.86,1.95,132.61
2,150,1000,1024.0,71.73,2.46,145.75
2,150,1000,2048.0,73.69,2.09,149.03
2,150,1000,4096.0,91.71,2.55,180.07
2,150,1000,8192.0,113.9,3.81,220.35
2,150,1000,16384.0,144.55,5.3,282.4
2,150,1000,32768.0,165.82,8.65,323.3
2,150,1000,65536.0,343.06,13.83,667.19
2,150,1000,131072.0,597.58,47.07,1083.62
2,150,1000,262144.0,1041.03,93.89,1878.23
2,150,1000,524288.0,2053.77,173.54,3615.2
2,150,1000,1048576.0,5388.88,324.81,9747.38
0,242,1000,1.0,15.61,1.67,31.05
0,242,1000,2.0,19.04,0.7,33.43
0,242,1000,4.0,19.33,0.61,34.22
0,242,1000,8.0,17.71,0.6,32.07
0,242,1000,16.0,17.47,0.59,31.02
0,242,1000,32.0,17.34,0.61,30.1
0,242,1000,64.0,17.63,0.62,31.16
0,242,1000,128.0,19.82,0.66,32.57
0,242,1000,256.0,19.2,1.11,32.25
0,242,1000,512.0,20.4,1.27,34.34
0,242,1000,1024.0,21.87,1.63,35.52
0,242,1000,2048.0,23.85,0.95,38.14
0,242,1000,4096.0,27.16,1.36,42.88
0,242,1000,8192.0,34.71,2.15,51.3
0,242,1000,16384.0,157.72,4.13,278.59
0,242,1000,32768.0,95.96,12.57,110.03
0,242,1000,65536.0,520.9,27.44,834.11
0,242,1000,131072.0,1078.84,30.08,1713.06
0,242,1000,262144.0,2356.82,55.49,3491.31
0,242,1000,524288.0,4838.21,97.79,6916.94
0,242,1000,1048576.0,9899.19,199.15,13757.26
0,106,1000,1.0,10.2,1.91,19.18
0,106,1000,2.0,10.9,1.86,20.59
0,106,1000,4.0,11.08,1.84,21.03
0,106,1000,8.0,11.0,1.86,20.77
0,106,1000,16.0,11.04,1.83,20.83
0,106,1000,32.0,11.72,2.61,21.6
0,106,1000,64.0,11.71,2.53,21.67
0,106,1000,128.0,11.76,2.96,20.58
0,106,1000,256.0,11.76,3.38,20.65
0,106,1000,512.0,12.12,3.67,20.97
0,106,1000,1024.0,12.55,4.23,21.89
0,106,1000,2048.0,12.85,4.83,22.69
0,106,1000,4096.0,16.85,6.25,31.07
0,106,1000,8192.0,28.49,10.93,52.44
0,106,1000,16384.0,53.79,11.75,96.8
0,106,1000,32768.0,95.51,13.73,172.62
0,106,1000,65536.0,206.21,14.02,349.47
0,106,1000,131072.0,509.26,29.81,757.81
0,106,1000,262144.0,1036.89,55.03,1508.77
0,106,1000,524288.0,2104.34,93.39,3006.04
0,106,1000,1048576.0,4057.68,186.7,5813.68
0,114,1000,1.0,9.67,0.93,18.42
0,114,1000,2.0,9.96,0.99,19.03
0,114,1000,4.0,10.61,0.88,20.22
0,114,1000,8.0,10.6,0.9,20.22
0,114,1000,16.0,10.53,0.89,20.04
0,114,1000,32.0,11.13,1.64,21.04
0,114,1000,64.0,11.16,1.71,21.15
0,114,1000,128.0,11.35,2.16,20.04
0,114,1000,256.0,11.6,2.36,20.56
0,114,1000,512.0,11.9,2.51,21.24
0,114,1000,1024.0,12.2,3.1,21.59
0,114,1000,2048.0,12.63,3.63,22.87
0,114,1000,4096.0,16.73,5.56,31.41
0,114,1000,8192.0,28.4,9.13,53.57
0,114,1000,16384.0,55.51,11.49,99.59
0,114,1000,32768.0,104.69,13.54,186.66
0,114,1000,65536.0,225.25,13.6,374.22
0,114,1000,131072.0,527.99,30.57,790.55
0,114,1000,262144.0,1102.97,52.57,1602.27
0,114,1000,524288.0,2236.85,92.59,3198.34
0,114,1000,1048576.0,4302.38,184.59,6144.52
2,130,1000,1.0,40.06,0.93,82.56
2,130,1000,2.0,39.85,0.92,82.67
2,130,1000,4.0,39.47,0.93,81.24
2,130,1000,8.0,39.76,0.9,82.42
2,130,1000,16.0,39.93,0.96,83.37
2,130,1000,32.0,42.66,0.94,89.29
2,130,1000,64.0,42.82,0.91,89.88
2,130,1000,128.0,42.97,1.36,88.05
2,130,1000,256.0,51.02,1.93,103.26
2,130,1000,512.0,56.5,2.2,118.6
2,130,1000,1024.0,64.21,2.68,140.68
2,130,1000,2048.0,63.43,2.1,128.27
2,130,1000,4096.0,74.02,2.54,147.9
2,130,1000,8192.0,89.17,3.7,180.69
2,130,1000,16384.0,121.2,6.92,235.62
2,130,1000,32768.0,158.95,10.82,307.14
2,130,1000,65536.0,279.13,15.77,531.67
2,130,1000,131072.0,568.35,35.73,990.85
2,130,1000,262144.0,944.63,60.15,1672.36
2,130,1000,524288.0,1860.85,104.27,3261.26
2,130,1000,1048576.0,4375.96,191.55,7819.87
2,214,1000,1.0,79.06,1.29,159.09
2,214,1000,2.0,76.95,1.24,161.15
2,214,1000,4.0,72.9,1.28,148.38
2,214,1000,8.0,75.26,1.3,148.6
2,214,1000,16.0,76.54,1.3,153.09
2,214,1000,32.0,72.89,1.24,147.5
2,214,1000,64.0,74.71,1.24,151.14
2,214,1000,128.0,78.45,1.39,156.6
2,214,1000,256.0,104.5,1.86,212.37
2,214,1000,512.0,100.75,1.98,202.04
2,214,1000,1024.0,105.05,2.31,216.18
2,214,1000,2048.0,109.0,2.06,219.72
2,214,1000,4096.0,129.6,2.51,255.65
2,214,1000,8192.0,150.29,3.82,302.43
2,214,1000,16384.0,206.89,6.22,405.45
2,214,1000,32768.0,268.62,9.23,523.55
2,214,1000,65536.0,567.24,30.95,1087.12
2,214,1000,131072.0,832.08,53.19,1538.4
