algorithm,cores,iterations,size,latency,min,max
0,106,1000,262144.0,476.32,276.35,638.12
0,106,1000,524288.0,1005.88,582.67,1330.04
0,106,1000,1048576.0,1750.89,1089.93,2192.33
0,114,1000,1.0,9.34,2.23,12.01
0,114,1000,2.0,2.79,2.19,3.87
0,114,1000,4.0,2.64,1.96,3.67
0,114,1000,8.0,2.65,1.93,3.65
0,114,1000,16.0,3.05,1.97,4.34
0,114,1000,32.0,3.0,2.27,4.17
0,114,1000,64.0,3.09,2.34,4.24
0,114,1000,128.0,4.82,3.49,6.39
0,114,1000,256.0,4.98,3.69,6.74
0,114,1000,512.0,5.22,3.74,7.08
0,114,1000,1024.0,5.43,3.94,7.23
0,114,1000,2048.0,7.95,5.54,10.62
0,114,1000,4096.0,10.26,7.18,13.39
0,114,1000,8192.0,15.29,10.45,19.52
0,114,1000,16384.0,26.11,20.01,32.13
0,114,1000,32768.0,46.59,32.82,62.22
0,114,1000,65536.0,97.71,60.86,134.3
0,114,1000,131072.0,186.7,103.37,256.4
0,114,1000,262144.0,458.22,245.1,620.5
0,114,1000,524288.0,1019.48,570.12,1357.29
0,114,1000,1048576.0,1681.84,996.6,2204.49
2,130,1000,1.0,6.59,0.53,13.88
2,130,1000,2.0,6.58,0.62,13.81
2,130,1000,4.0,6.57,0.61,14.05
2,130,1000,8.0,15.94,0.68,28.19
2,130,1000,16.0,6.74,0.68,14.71
2,130,1000,32.0,9.05,0.78,18.38
2,130,1000,64.0,9.0,0.77,18.39
2,130,1000,128.0,9.24,0.87,18.66
2,130,1000,256.0,13.05,0.82,26.69
2,130,1000,512.0,9.99,0.95,21.11
2,130,1000,1024.0,10.47,1.08,22.06
2,130,1000,2048.0,13.76,1.09,28.03
2,130,1000,4096.0,18.59,1.52,38.78
2,130,1000,8192.0,27.16,1.86,54.08
2,130,1000,16384.0,87.2,11.02,161.44
2,130,1000,32768.0,132.8,19.61,238.25
2,130,1000,65536.0,219.08,31.41,394.02
2,130,1000,131072.0,412.16,77.75,725.93
2,130,1000,262144.0,833.83,195.14,1441.86
2,130,1000,524288.0,1690.46,418.77,2892.89
2,130,1000,1048576.0,3399.33,832.67,5794.33
2,214,1000,1.0,18.0,1.14,43.04
2,214,1000,2.0,21.36,0.75,40.11
2,214,1000,4.0,21.64,0.73,41.08
2,214,1000,8.0,23.73,0.79,47.98
2,214,1000,16.0,21.01,0.76,40.08
2,214,1000,32.0,22.0,0.76,43.6
2,214,1000,64.0,20.05,0.87,38.48
2,214,1000,128.0,23.35,0.98,45.4
2,214,1000,256.0,21.57,0.99,43.68
2,214,1000,512.0,22.05,1.14,44.17
2,214,1000,1024.0,23.73,1.33,46.46
2,214,1000,2048.0,25.81,1.62,52.4
2,214,1000,4096.0,32.2,2.01,64.27
2,214,1000,8192.0,44.44,2.23,86.58
2,214,1000,16384.0,138.76,10.84,262.67
2,214,1000,32768.0,206.59,18.53,381.4
2,214,1000,65536.0,325.45,29.44,610.18
2,214,1000,131072.0,599.53,51.68,1108.03
2,214,1000,262144.0,1198.58,87.78,2202.46
2,214,1000,524288.0,2437.63,166.41,4455.29
2,214,1000,1048576.0,4884.88,324.41,8952.8
0,138,1000,1.0,2.56,1.55,4.84
0,138,1000,2.0,3.6,0.46,6.08
0,138,1000,4.0,3.58,0.44,6.78
0,138,1000,8.0,3.55,0.43,6.23
0,138,1000,16.0,3.59,0.43,6.08
0,138,1000,32.0,4.23,0.52,6.89
0,138,1000,64.0,4.29,0.52,6.89
0,138,1000,128.0,6.13,0.63,9.53
0,138,1000,256.0,6.5,0.62,9.81
0,138,1000,512.0,6.79,0.6,10.27
0,138,1000,1024.0,7.41,0.63,11.39
0,138,1000,2048.0,11.67,0.74,18.44
0,138,1000,4096.0,19.26,0.85,28.92
0,138,1000,8192.0,36.53,1.03,57.16
0,138,1000,16384.0,113.67,7.15,198.1
0,138,1000,32768.0,167.24,11.58,225.85
0,138,1000,65536.0,99.14,45.17,137.17
0,138,1000,131072.0,207.82,81.81,287.49
0,138,1000,262144.0,457.16,157.5,624.55
0,138,1000,524288.0,986.98,283.2,1351.05
0,138,1000,1048576.0,1708.3,511.33,2274.31
2,70,1000,1.0,5.2,0.77,10.31
2,70,1000,2.0,4.67,0.81,9.1
2,70,1000,4.0,6.24,0.79,10.85
2,70,1000,8.0,4.59,0.92,9.21
2,70,1000,16.0,3.94,0.65,8.44
2,70,1000,32.0,4.53,0.64,9.65
2,70,1000,64.0,4.12,0.61,8.77
2,70,1000,128.0,5.74,0.74,11.52
2,70,1000,256.0,5.89,0.73,11.68
2,70,1000,512.0,5.79,0.9,11.84
2,70,1000,1024.0,6.26,0.85,12.75
2,70,1000,2048.0,8.19,0.97,16.7
2,70,1000,4096.0,10.7,1.16,21.63
2,70,1000,8192.0,16.39,1.66,32.42
2,70,1000,16384.0,50.79,10.28,87.36
2,70,1000,32768.0,72.73,12.93,127.04
2,70,1000,65536.0,125.25,27.34,214.76
2,70,1000,131072.0,235.51,63.25,394.54
2,70,1000,262144.0,475.64,135.2,785.51
2,70,1000,524288.0,967.08,271.16,1575.97
2,70,1000,1048576.0,1931.11,535.79,3159.92
2,194,1000,1.0,14.47,1.19,31.72
2,194,1000,2.0,15.59,0.84,32.84
2,194,1000,4.0,15.19,0.68,31.57
2,194,1000,8.0,15.32,0.64,31.84
2,194,1000,16.0,15.9,0.73,33.43
2,194,1000,32.0,19.0,0.61,38.31
2,194,1000,64.0,17.91,0.56,40.06
2,194,1000,128.0,19.39,1.25,48.49
2,194,1000,256.0,22.02,2.5,45.65
2,194,1000,512.0,17.44,1.38,38.2
2,194,1000,1024.0,18.23,1.67,39.41
2,194,1000,2048.0,23.2,1.51,48.54
2,194,1000,4096.0,30.44,1.7,75.02
2,194,1000,8192.0,45.28,1.99,86.07
2,194,1000,16384.0,120.46,9.33,231.56
2,194,1000,32768.0,181.26,15.03,346.47
2,194,1000,65536.0,304.23,28.93,575.86
2,194,1000,131072.0,558.06,57.51,1035.98
2,194,1000,262144.0,1134.64,98.27,2074.04
2,194,1000,524288.0,2262.69,188.3,4136.19
2,194,1000,1048576.0,4457.3,370.56,8188.12
2,98,1000,1.0,7.79,0.71,13.67
2,98,1000,2.0,6.84,0.91,12.17
2,98,1000,4.0,6.28,0.94,11.52
2,98,1000,8.0,7.0,0.99,12.6
2,98,1000,16.0,6.19,0.92,11.32
2,98,1000,32.0,6.58,0.98,12.03
2,98,1000,64.0,6.65,1.02,12.14
2,98,1000,128.0,7.89,1.09,14.4
2,98,1000,256.0,8.04,1.04,14.37
2,98,1000,512.0,8.74,1.18,16.09
2,98,1000,1024.0,9.38,1.27,17.06
2,98,1000,2048.0,11.9,1.29,21.96
2,98,1000,4096.0,15.24,1.58,28.0
2,98,1000,8192.0,22.81,2.26,41.79
2,98,1000,16384.0,66.54,9.9,118.08
2,98,1000,32768.0,108.69,16.47,188.93
2,98,1000,65536.0,176.84,34.59,305.13
2,98,1000,131072.0,333.99,82.71,563.25
2,98,1000,262144.0,676.29,182.85,1118.2
2,98,1000,524288.0,1367.54,384.43,2248.69
2,98,1000,1048576.0,2719.55,760.29,4456.02
0,86,1000,1.0,2.47,1.47,3.54
0,86,1000,2.0,2.53,1.54,3.65
0,86,1000,4.0,2.54,1.55,3.67
0,86,1000,8.0,2.51,1.59,3.56
0,86,1000,16.0,2.6,1.59,3.63
0,86,1000,32.0,3.16,1.78,4.35
0,86,1000,64.0,2.73,1.56,3.97
0,86,1000,128.0,4.44,3.23,6.17
0,86,1000,256.0,4.67,3.23,6.35
0,86,1000,512.0,4.7,3.48,6.44
0,86,1000,1024.0,5.12,4.02,6.96
0,86,1000,2048.0,7.24,5.41,9.93
0,86,1000,4096.0,9.57,7.08,12.92
0,86,1000,8192.0,14.8,10.83,19.96
0,86,1000,16384.0,23.32,19.68,30.77
0,86,1000,32768.0,41.17,33.57,54.19
0,86,1000,65536.0,73.37,52.04,97.2
0,86,1000,131072.0,159.38,104.36,197.74
0,86,1000,262144.0,382.35,245.88,473.01
0,86,1000,524288.0,865.06,568.43,1065.57
0,86,1000,1048576.0,1618.28,1109.64,1807.17
0,158,1000,1.0,4.21,0.65,9.58
0,158,1000,2.0,5.36,0.46,11.87
0,158,1000,4.0,4.86,0.47,12.35
0,158,1000,8.0,4.73,0.46,11.68
0,158,1000,16.0,4.62,0.47,11.25
0,158,1000,32.0,5.99,0.52,12.86
0,158,1000,64.0,5.19,0.54,11.39
0,158,1000,128.0,6.88,0.65,13.59
0,158,1000,256.0,7.37,0.64,13.76
0,158,1000,512.0,8.26,0.65,14.38
0,158,1000,1024.0,9.76,0.7,17.6
0,158,1000,2048.0,13.08,0.75,19.8
0,158,1000,4096.0,21.3,0.84,30.45
0,158,1000,8192.0,38.83,1.03,55.97
0,158,1000,16384.0,112.44,8.01,190.2
0,158,1000,32768.0,176.18,10.73,259.13
0,158,1000,65536.0,86.65,53.0,117.78
0,158,1000,131072.0,194.93,102.21,270.35
0,158,1000,262144.0,397.16,191.2,553.98
0,158,1000,524288.0,772.92,373.09,1045.34
0,158,1000,1048576.0,1497.4,634.44,2072.77
0,26,1000,1.0,1.38,0.81,2.39
0,26,1000,2.0,1.38,0.81,2.39
0,26,1000,4.0,1.43,0.86,2.45
